PH	concentration	chemical shift	factor	No. of H
Creatinine				
4.5	4200	4.249	1.105263158	2
5.5	3940	4.125	1.036842105	2
6.3	7050	4.076	1.855263158	2
7.2	3800	4.062	1	2
8.2	3700	4.058	0.973684211	2
9.5	3850	4.058	1.013157895	2
				
Trimethylamine N-oxide				
4.5	116.6	3.471	1.06	9
5.5	124	3.328	1.127272727	9
6.3	201.7	3.287	1.833636364	9
7.2	110	3.27	1	9
8.2	128.1	3.27	1.164545455	9
9.5	141.2	3.27	1.283636364	9
				
Pyruvic acid				
4.5	41.6	2.409	1.899543379	3
5.5	33.2	2.447	1.515981735	3
6.3	31.8	2.446	1.452054795	3
7.2	21.9	2.45	1	3
8.2	43.7	2.457	1.99543379	3
9.5	16.8	2.458	0.767123288	3
				
Tyrosine				
4.5	327.7	6.976	1.110471027	2
5.5	316.5	6.974	1.072517791	2
6.3	477.8	6.971	1.619112165	2
7.2	295.1	6.889	1	2
8.2	206.9	6.89	0.701118265	2
9.5	270.7	6.916	0.917316164	2
				
Formic acid				
4.5	100	8.419	0.666666667	1
5.5	110	8.454	0.733333333	1
6.3	160	8.465	1.066666667	1
7.2	150	8.465	1	1
8.2	100	8.465	0.666666667	1
9.5	110	8.465	0.733333333	1
				
Lactic acid				
4.5	206.2882	4.169	0.860662711	1
5.5	212.8697	4.151	0.888121633	1
6.3	236.3845	4.144	0.986228609	1
7.2	239.6853	4.142	1	1
8.2	238.8195	4.141	0.996387763	1
9.5	252.4533	4.141	1.05326985	1
				
Alanine				
4.5	80.3	1.4748	1.126227209	3
5.5	72.7	1.484	1.019635344	3
6.3	144.8	1.4874	2.03085554	3
7.2	71.3	1.4866	1	3
8.2	83.9	1.484	1.176718093	3
9.5	29.8	1.4158	0.417952314	3
				
Taurine				
4.5	1077.7	3.2599	1.019198033	2
5.5	916	3.2693	0.866275771	2
6.3	1649.5	3.2736	1.559958389	2
7.2	1057.4	3.2724	1	2
8.2	1071	3.253	1.012861736	2
9.5	86.8	3.241	0.082088141	2
